id,title,compliance_score,created,author,contributors,graph_key,layer,source_slug,status,type
143,Transaction Signature Verification for Version 0 Witness Program,82.76,2016-01-03,Johnson Lau <jl2012@xbt.hk> | Pieter Wuille <pieter.wuille@gmail.com>,"['Luke Dashjr', 'Johnson Lau', 'Bryan Bishop', 'Luke-Jr', 'jl2012', 'Richard Kiss', 'MeshCollider', 'Varunram', 'Hennadii Stepanov']",bips:143,Consensus (soft fork),bips,Final,Standards Track
144,Segregated Witness (Peer Services),86.21,2016-01-08,Eric Lombrozo <elombrozo@gmail.com> | Pieter Wuille <pieter.wuille@gmail.com>,"['Luke Dashjr', 'Johnson Lau', 'Andreas Schildbach', 'Sam Wood', 'Luke-Jr', 'Eric Lombrozo', 'Andrew Chow', 'Wladimir J. van der Laan', 'MeshCollider', 'MarcoFalke']",bips:144,Peer Services,bips,Final,Standards Track
145,getblocktemplate Updates for Segregated Witness,86.21,2016-01-30,Luke Dashjr <luke+bip22@dashjr.org>,"['Luke Dashjr', 'Johnson Lau']",bips:145,API/RPC,bips,Final,Standards Track
146,Dealing with signature encoding malleability,86.21,2016-08-16,Johnson Lau <jl2012@xbt.hk> | Pieter Wuille <pieter.wuille@gmail.com>,"['Luke Dashjr', 'Johnson Lau']",bips:146,Consensus (soft fork),bips,Withdrawn,Standards Track
147,Dealing with dummy stack element malleability,86.21,2016-09-02,Johnson Lau <jl2012@xbt.hk>,"['Luke Dashjr', 'Jonathan Cross', 'Johnson Lau']",bips:147,Consensus (soft fork),bips,Final,Standards Track
148,Mandatory activation of segwit deployment,86.21,2017-03-12,Shaolin Fry <shaolinfry@protonmail.ch>,"['shaolinfry', 'Cameron Garnham']",bips:148,Consensus (soft fork),bips,Final,Standards Track
149,Segregated Witness (second deployment),86.21,2017-04-14,Shaolin Fry <shaolinfry@protonmail.ch>,['shaolinfry'],bips:149,Consensus (soft fork),bips,Withdrawn,Standards Track
150,Peer Authentication,89.66,2016-03-23,Jonas Schnelli <dev@jonasschnelli.ch>,"['Jonas Schnelli', 'Bryan Bishop', 'Luke Dashjr', 'MeshCollider']",bips:150,Peer Services,bips,Draft,Standards Track
151,Peer-to-Peer Communication Encryption,86.21,2016-03-23,Jonas Schnelli <dev@jonasschnelli.ch>,"['Jonas Schnelli', 'Christopher Jeffrey', 'Luke Dashjr', 'Dario']",bips:151,Peer Services,bips,Withdrawn,Standards Track
152,Compact Block Relay,82.76,2016-04-27,Matt Corallo <bip152@bluematt.me>,"['Matt Corallo', 'Pieter Wuille', '฿tcDrak', 'Suhas Daftuar', 'Russell Yanofsky', 'Luke-Jr', 'Luke Dashjr', 'paveljanik', 'Janus']",bips:152,Peer Services,bips,Final,Standards Track
154,Rate Limiting via peer specified challenges,86.21,2017-04-12,Karl-Johan Alm <karljohan-alm@garage.co.jp>,['Karl-Johan Alm'],bips:154,Peer Services,bips,Withdrawn,Standards Track
155,addrv2 message,79.31,2019-02-27,Wladimir J. van der Laan <laanwj@gmail.com>,"['Wladimir J. van der Laan', 'Vasil Dimov', 'Hennadii Stepanov', 'Luke Dashjr']",bips:155,Peer Services,bips,Draft,Standards Track
156,Dandelion - Privacy Enhancing Routing,86.21,2017-06-09,Brad Denby <bdenby@cmu.edu> | Andrew Miller <soc1024@illinois.edu> | Giulia Fanti <gfanti@andrew.cmu.edu> | Surya Bakshi <sbakshi3@illinois.edu> | Shaileshh Bojja Venkatakrishnan <shaileshh.bv@gmail.com> | Pramod Viswanath <pramodv@illinois.edu>,"['Giulia Fanti', 'Janus']",bips:156,Peer Services,bips,Rejected,Standards Track
157,Client Side Block Filtering,89.66,2017-05-24,Olaoluwa Osuntokun <laolu32@gmail.com> | Alex Akselrod <alex@akselrod.org> | Jim Posen <jimpo@coinbase.com>,"['Jim Posen', 'Varunram', 'Olaoluwa Osuntokun']",bips:157,Peer Services,bips,Draft,Standards Track
158,Compact Block Filters for Light Clients,89.66,2017-05-24,Olaoluwa Osuntokun <laolu32@gmail.com> | Alex Akselrod <alex@akselrod.org>,"['Jim Posen', 'Olaoluwa Osuntokun', 'Alex', 'jojeyh', 'Jonathan Cross', 'Luke Dashjr', 'Fabian Jahr', 'nkohen', 'MarcoFalke']",bips:158,Peer Services,bips,Draft,Standards Track
159,NODE_NETWORK_LIMITED service bit,89.66,2017-05-11,Jonas Schnelli <dev@jonasschnelli.ch>,"['Jonas Schnelli', 'MarcoFalke', 'Coding Enthusiast']",bips:159,Peer Services,bips,Draft,Standards Track
171,Currency/exchange rate information API,86.21,2017-03-04,Luke Dashjr <luke+bip@dashjr.org>,"['Luke Dashjr', 'Janus']",bips:171,Applications,bips,Rejected,Standards Track
173,Base32 address format for native v0-16 witness outputs,76.67,2017-03-20,Pieter Wuille <pieter.wuille@gmail.com> | Greg Maxwell <greg@xiph.org>,"['Pieter Wuille', 'mruddy', 'SomberNight', 'Luke Dashjr', 'Clark', 'Dario Sneidermanis', 'Hennadii Stepanov']",bips:173,Applications,bips,Final,Informational
174,Partially Signed Bitcoin Transaction Format,75.86,2017-07-12,Andrew Chow <achow101@gmail.com>,"['Andrew Chow', 'Daniel Cousens', 'azuchi', 'Luke Dashjr', 'Thomas Kerin', 'Dustin Dettmer', 'Kalle Rosenbaum', 'Steven Roose', 'Luke Childs', 'Jonathan Underwood', 'nicolas.dorier', 'darosior', 'Dmitry Petukhov', 'Ben Carman', 'Mike Schmidt', 'Sanket Kanjalkar', 'Andrew Poelstra', 'Dr. Maxim Orlovsky']",bips:174,Applications,bips,Proposed,Standards Track
175,Pay to Contract Protocol,93.1,2017-07-17,Omar Shibli <omar@commerceblock.com> | Nicholas Gregory <nicholas@commerceblock.com>,"['Omar Shibli', 'Naoto Satoh', 'Jonathan Cross']",bips:175,Applications,bips,Draft,Informational
176,Bits Denomination,93.1,2017-12-12,Jimmy Song <jaejoon@gmail.com>,['Jimmy Song'],bips:176,,bips,Draft,Informational
178,Version Extended WIF,89.66,2018-04-04,Karl-Johan Alm <karljohan-alm@garage.co.jp>,"['Karl-Johan Alm', 'wigy']",bips:178,Applications,bips,Draft,Standards Track
179,Name for payment recipient identifiers,93.1,2019-10-17,Emil Engler <me@emilengler.com> | MarcoFalke <falke.marco@gmail.com> | Luke Dashjr <luke+bip@dashjr.org>,['Emil Engler'],bips:179,,bips,Draft,Informational
180,Block size/weight fraud proof,86.21,2017-03-17,Luke Dashjr <luke+bip@dashjr.org>,"['Luke Dashjr', 'Janus']",bips:180,Peer Services,bips,Rejected,Standards Track
197,Hashed Time-Locked Collateral Contract,86.21,2019-03-19,Matthew Black <matthew@atomicloans.io> | Tony Cai <tony@atomicloans.io>,"['Matthew Black', 'azuchi']",bips:197,Applications,bips,Draft,Standards Track
199,Hashed Time-Locked Contract transactions,86.21,2017-03-27,Sean Bowe <sean@z.cash> | Daira Hopwood <daira@z.cash>,"['Sean Bowe', 'Jonathan Cross']",bips:199,Applications,bips,Draft,Standards Track
300,Hashrate Escrows (Consensus layer),89.66,2017-08-14,Paul Sztorc <truthcoin@gmail.com> | CryptAxe <cryptaxe@gmail.com>,"['Paul Sztorc', 'Luke Dashjr']",bips:300,Consensus (soft fork),bips,Draft,Standards Track
301,Blind Merged Mining (Consensus layer),89.66,2019-07-23,Paul Sztorc <truthcoin@gmail.com> | CryptAxe <cryptaxe@gmail.com>,"['Paul Sztorc', 'Luke Dashjr']",bips:301,Consensus (soft fork),bips,Draft,Standards Track
310,Stratum protocol extensions,93.1,2018-03-10,Pavel Moravec <pavel.moravec@braiins.cz> | Jan Čapek <jan.capek@braiins.cz>,"['Jan Čapek', 'Luke Dashjr']",bips:310,Applications,bips,Draft,Informational
320,nVersion bits for general purpose use,89.66,2018-03-01,BtcDrak <btcdrak@gmail.com>,['Luke Dashjr'],bips:320,,bips,Draft,Standards Track
322,Generic Signed Message Format,86.21,2018-09-10,Karl-Johan Alm <karljohan-alm@garage.co.jp>,"['Karl-Johan Alm', 'Luke Dashjr', 'Andrew Poelstra']",bips:322,Applications,bips,Draft,Standards Track
325,Signet,86.21,2019-03-20,Karl-Johan Alm <karljohan-alm@garage.co.jp> | Anthony Towns <aj@erisian.com.au>,"['Karl-Johan Alm', 'Mike Schmidt', 'Anthony Towns', 'MarcoFalke', 'Gregory Sanders', 'Luke Dashjr']",bips:325,Applications,bips,Proposed,Standards Track
330,Transaction announcements reconciliation,89.66,2019-09-25,Gleb Naumenko <naumenko.gs@gmail.com> | Pieter Wuille <pieter.wuille@gmail.com>,['User'],bips:330,Peer Services,bips,Draft,Standards Track
339,WTXID-based transaction relay,89.66,2020-02-03,Suhas Daftuar <sdaftuar@chaincode.com>,"['Luke Dashjr', 'John Newbery', 'Suhas Daftuar']",bips:339,Peer Services,bips,Draft,Standards Track
340,Schnorr Signatures for secp256k1,75.86,2020-01-19,Pieter Wuille <pieter.wuille@gmail.com> | Jonas Nick <jonasd.nick@gmail.com> | Tim Ruffing <crypto@timruffing.de>,"['Pieter Wuille', '@RandyMcMillan', 'Jonas Nick', 'Luke Dashjr', 'Keagan McClelland', 'Anthony Towns', 'Tim Ruffing']",bips:340,,bips,Draft,Standards Track
341,Taproot: SegWit version 1 spending rules,80.0,2020-01-19,Pieter Wuille <pieter.wuille@gmail.com> | Jonas Nick <jonasd.nick@gmail.com> | Anthony Towns <aj@erisian.com.au>,"['Pieter Wuille', 'Nicolas Dorier', 'Anthony Towns', 'Jonas Nick', 'Luke Dashjr', 'MarcoFalke']",bips:341,Consensus (soft fork),bips,Draft,Standards Track
342,Validation of Taproot Scripts,80.0,2020-01-19,Pieter Wuille <pieter.wuille@gmail.com> | Jonas Nick <jonasd.nick@gmail.com> | Anthony Towns <aj@erisian.com.au>,"['Pieter Wuille', 'Vis Virial (a.k.a. びりある)', 'Gregory Sanders', 'MarcoFalke']",bips:342,Consensus (soft fork),bips,Draft,Standards Track
0,SLIP Template,85.71,2014-06-06,SatoshiLabs <info@satoshilabs.com>,['Pavol Rusnak'],slips:0,,slips,Accepted,Informational
10,Universal private key derivation from master private key,85.71,2016-04-26,Jochen Hoenicke <hoenicke@gmail.com> | Pavol Rusnak <stick@satoshilabs.com>,"['Pavol Rusnak', 'Jochen Hoenicke', 'Simon Warta', 'Eric Malamisura']",slips:10,,slips,Draft,Standard
11,Symmetric encryption of key-value pairs using deterministic hierarchy,85.71,2014-06-12,Pavol Rusnak <stick@satoshilabs.com> | Marek Palatinus <slush@satoshilabs.com> | Karel Bilek <kb@karelbilek.com>,"['Pavol Rusnak', 'Karel Bílek']",slips:11,,slips,Draft,Standard
12,Public key encryption using deterministic hierarchy,85.71,2014-06-12,Pavol Rusnak <stick@satoshilabs.com> | Marek Palatinus <slush@satoshilabs.com>,"['Pavol Rusnak', 'Karel Bílek']",slips:12,,slips,Draft,Standard
13,Authentication using deterministic hierarchy,85.71,2015-03-12,Pavol Rusnak <stick@satoshilabs.com>,"['Pavol Rusnak', 'Gary Rowe', 'Roman Zeyde']",slips:13,,slips,Draft,Standard
14,Stress Test Deterministic Wallet,85.71,2015-01-12,Pavol Rusnak <stick@satoshilabs.com>,"['Pavol Rusnak', 'Karel Bílek']",slips:14,,slips,Draft,Informational
15,Format for Bitcoin metadata and its encryption in HD wallets,85.71,2015-01-12,Karel Bilek <kb@karelbilek.com>,"['Pavol Rusnak', 'Rohan Agarwal']",slips:15,,slips,Draft,Standard
16,Format for password storage and its encryption,85.71,2016-18-02,Peter Jensen <peteritsjustadream@gmail.com>,"['Peter Jensen', 'Pavol Rusnak', 'chren', 'Tomas Susanka']",slips:16,,slips,Draft,Standard
17,ECDH using deterministic hierarchy,85.71,2016-05-29,Roman Zeyde <roman.zeyde@gmail.com>,"['Roman Zeyde', 'Pavol Rusnak']",slips:17,,slips,Draft,Standard
19,Proof of Ownership,85.71,2019-04-25,Andrew Kozlik <andrew.kozlik@satoshilabs.com> | Stepan Snigirev <stepan@cryptoadvance.io> | Ondrej Vejpustek <ondrej.vejpustek@satoshilabs.com> | Pavol Rusnak <stick@satoshilabs.com>,"['Pavol Rusnak', 'Stepan Snigirev', 'Andrew Kozlik']",slips:19,,slips,Draft,Standard
20,Proof of User Confirmation,85.71,2019-04-25,TBD,['Pavol Rusnak'],slips:20,,slips,Draft,Standard
21,Hierarchical derivation of symmetric keys,85.71,2019-06-25,Andrew R. Kozlik <andrew.kozlik@satoshilabs.com> | Ondrej Vejpustek <ondrej.vejpustek@satoshilabs.com> | Pavol Rusnak <stick@satoshilabs.com>,['Andrew Kozlik'],slips:21,,slips,Draft,Standard
22,FIDO2 credential ID format for HD wallets,85.71,2019-07-19,Andrew R. Kozlik <andrew.kozlik@satoshilabs.com> | Pavol Rusnak <stick@satoshilabs.com> | Ondrej Vejpustek <ondrej.vejpustek@satoshilabs.com>,['Andrew Kozlik'],slips:22,,slips,Draft,Standard
23,Cardano HD master node derivation from a master seed,85.71,2019-07-24,Andrew R. Kozlik <andrew.kozlik@satoshilabs.com>,['Andrew Kozlik'],slips:23,,slips,Draft,Standard
32,Extended serialization format for BIP-32 wallets,85.71,2017-09-06,Pavol Rusnak <stick@satoshilabs.com>,"['Pavol Rusnak', 'Tomas Susanka']",slips:32,,slips,Draft,Standard
39,Shamir's Secret-Sharing for Mnemonic Codes,85.71,2017-12-18,Pavol Rusnak <stick@satoshilabs.com> | Andrew Kozlik <andrew.kozlik@satoshilabs.com> | Ondrej Vejpustek <ondrej.vejpustek@satoshilabs.com> | Tomas Susanka <tomas.susanka@satoshilabs.com> | Marek Palatinus <slush@satoshilabs.com> | Jochen Hoenicke <hoenicke@gmail.com>,"['Pavol Rusnak', 'Tomas Susanka', 'Daan Sprenkels', 'rkagerer', 'andrew', 'Andrew Kozlik', 'Tamás Blummer', 'secinthenet']",slips:39,,slips,Draft,Standard
44,Registered coin types for BIP-0044,85.71,2014-07-09,Pavol Rusnak <stick@satoshilabs.com> | Marek Palatinus <slush@satoshilabs.com>,"['Pavol Rusnak', 'Kirill Fomichev', 'Myckel Habets', 'ahmedbodi', 'Malcolm MacLeod', 'Hypermist', 'Riccardo Spagni', 'BigUP Life', 'Bata.io', 'cryptapus', 'Oktoshi', 'lateminer', 'KingCaper', 'Chris Priest', 'John L. Jegutanis', 'Dan Gershony', 'sherlockcoin', 'Vitali Grabovkski', 'protonn', 'mikeyb', 'vbecas', 'Brian Deery', 'Leigh Phillips', 'slush0', 'Max Kordek', 'Nopslide', 'Martin Treurnicht', 'Fabian Schuh', 'vetal20600', 'dev0tion', 'Thomas Zarebczan', 'spiralus', 'pondsea', 'Manfred Karrer', 'Charlie Lee', 'S.Kamon', 'VERGE/XVG', 'Nicolas Bacca', 'Jonathan Brown', 'Luke Williams', 'François-Xavier Thoorens', 'slowfx', 'Cryptorunner', 'BreakoutCoin', 'CikeQiu', 'Neblio Team', 'sanbit', 'Blockmeta-区块元', 'Blackithart', 'Bartek Nowotarski', 'Sambhav Sharma', 'Rhett Creighton', 'Oizopower', 'yager', 'Alfredo Di Napoli', 'ellaismer', 'topynate', 'chr1sn0', 'btd-team', 'BrianPugh', 'eveybcd', 'Oliver Gugger', '唐厅', 'superbitcoin', 'Mikalai Ramanovich', '宋辰文', 'Heber Bastidas', 'Baby Goat', 'btwone', 'technolog', 'bitcoinfaith', 'tohsnoom', 'btceasypay', '-k', 'konez2k', 'worldbitcoin', 'coranos', 'BoxyCoin', 'bitcoinvote', 'bruce-bitcoinquark', 'bitcoinnano', 'DAGBPA', 'Morris Winkler', 'BigBitcoin', 'Valeriy', 'kotodev', 'Fuling', 'Sergey Tolmachev', 'FreeTrade', 'xarakas', 'tony', 'Ulord', 'zhumingu', 'superbigfu', 'squbs', 'YouStock', 'Samad Sajanlal', 'Jack', 'RaptureCore', 'Maku Mori', 'Chakphanu Komasathit', 'Pawel Cioch', 'Dmitry Semenov', 'Greg Lee', 'Dexaran', 'hoito', 'Masao Hidemitsu', 'jimhsu', 'Tim Uy', 'sunshineben', 'Derek May', 'williamersatz', 'WaykiChain', 'Arthur B', 'Heinoc', 'Marcus', 'bitcoinfile', 'bopochain', 'chainshome', 'hhwill', 'Peter Bushnell', '冉俊雄', 'yiyong', 'Adrián Eidelman', 'david-selfsell', 'cryptonodes-core', 'East Coin', 'Akira Takizawa', 'Jeffrey Esquivel S', 'zeusthealmighty', 'ZestDevCoin', 'Koutarou Tanaka', 'Nekonium project', 'a.b', 'Paul M Fox', 'Kevin Britz', 'yapstonegithub', 'Kim Myeonghun', 'Tyler Hann', 'EOS Classic', 'WO', 'matrixelement', 'Senioris', 'r-kononov', 'onechainone', 'Aaron Blankstein', 'TheHolyRoger', 'Team Hycon', 'Teslacoin', 'xixisese', 'Plainkoin', 'Jim McDonald', 'ceeji', 'howewang', 'Sky Young', 'flowfire', 'MickWang', 'Akuukis', 'echo', 'Yao Sun', 'Krister Viirsaar', 'Vladimir Goncharov', 'Eric Polerecky', 'cngotom', 'fish-en', 'DennisM', 'Berran', 'nongrain', 'E1Code', 'henryBTR', 'guantau', 'Romano', 'Arthur', 'Emmanuel', 'soom-4th-blockchain', 'xagau', 'teknex', 'Baoliang Zhang', 'luzengLET', 'Cronos', 'Shawn Xie', 'Nguyen Sy Thanh Son', 'Jose Luis Estevez', 'sandegodev', 'David', 'Mykola', 'stone', 'ThunderCore', 'wuqignyun1014', 'Andrea', 'Yura', 'YuanXingqiang', 'Divi Project', 'Boyma', 'Kent Quirk', 'Shijiang Guo', 'turcol', 'Sergei Zubov', 'Jazys', 'Vladyslav Makarian', 'Reto Trinkler', 'a e r t h', 'Christophe Wang', 'kpp', 'JP Richardson', 'woodyjon', 'Łukasz Matczak', 'James Cramer', 'Hyunsik Jeong', 'Mark LTZ', 'Tibor Arpas', 'ChekaZ', 'Harris Brakmić', 'rob234', 'Yu', 'Adam Androulidakis', 'Andrey Galkin', 'zhaojun.sh', 'Denis Voskvitsov', 'walkjivefly', 'CCob', 'c0ban-project', 'cong', 'SondreB', 'Ethan Buchman', 'Simon Warta', 'daring5920', 'moshemalawach', 'zhiyuan.wu', 'Nicemanss', 'WillyTheCat', 'Suryansh Kumar', 'Mikhail', 'Juan Leni', 'Altcoin Cash', 'BitcoinVIP', 'Amir Abrams', 'mattt21', 'EternityTula', 'orogvany', 'Denis Davidyuk', 'evesnow91', 'Peili Liang', 'Saulius Grigaitis', 'veilgets', 'ryannichols', 'ballzcoin', 'Scott Chou', 'REOSC', 'Liu-Cheng Xu', 'IPChain', 'Alexander Kolotov', 'galimba', 'Jimmy Hu', 'kodiak', 'Wampum', 'George-Theodor Serbana', 'Ritocoin Project', 'zccst', 'WagerrTor', 'TheTrunk', 'Kee Jefferys', 'Bytecoin Developers Team', 'Kolby Moroz', 'dominantcoin', 'Ian He', 'gadisr', 'Rey Li', 'Amin Mazinani', 'Euno DevTeam', 'Y', 'FxTC Core', 'Maciej Pilarczyk', 'mansud', 'revotu', 'Peter Grassberger', 'Marcelo Salhab Brogliato', 'Kandy Ye', 'Kozlov Oleksandr', 'Julian Fleischer', 'zhengpeng li', 'weijia', 'Garrett MacDonald', 'Clueless', 'IoTE', 'shyun-comcom', 'Pion Coin Core', 'Kikyou Akino', 'Jenova7', 'redstone-admin', 'DreamTeam3', 'Robert Mao', 'J62', 'セリシア', 'EndlessLoop', 'PTYX11', 'Viktor', 'BC-Chain', 'Adrián Matejov', 'Shinya Furusake', 'eddyCais', 'yqsy', 'Yang LIU', 'Frank Yang', 'Adam Barlam', 'Nickolai Zeldovich', 'cranepay', 'OBSERVER', 'DEVCØN', '2infinity-gh', 'Slate Random Dev', 'Cevap Master', 'Dennis de Klerk', 'Giacomo Milligan', 'theboldproject', 'jino5577', 'ablozhou', 'iocrypto', 'Eric Huang', 'Santi', 'Dassus', 'Angelos Veglektsis', 'eyestudio', 'Do Kwon', 'Nikolay Kuzin', 'Frank', 'Liam Alford', '人畜無害', 'Proteus', 'wcc19840827', 'Mohak Shah', 'BeachM', 'dustinface', 'AW', 'Jayson Jacobs', 'Sheldon', 'James Chen', 'Lior Yaffe', 'Yatendra', 'Matt', 'Markus Nebel', 'Shard Coin', 'CryptoForge', 'Trustfarm-heart', 'Matt Smith', 'anthony19114', 'koirider', 'Timo', 'Sean McGary', 'Marian Gheorghe', '轩辕焮痕', 'Gregory Lemercier', 'bluesky0125', 'cpchainbot', '894346784', 'Bit Yoda', 'omtns', 'Richard Roznovjak', 'yorugac', 'Arjun', 'Truong Hong Thi', 'ariesunny', 'Jin Hur', 'gaoxiangxyz', 'yoyo', 'Sven', 'George', 'Solar Designer', 'onnateldome', 'Rasikh Morani', 'FlyFoxUK', 'Trent', 'SonicX Blockchain', 'Min Khang Aung', 'ducnd412', 'hebingqing', 'ABBC Foundation', 'Corey M', 'Cha Minkyoo', 'Green Appers, Inc', 'ysh0566', 'anonymouszar', 'Dark Raven', 'Ethan van Ballegooyen', 'FlavoredYoghurt', 'Mostafa Sedaghat Joo', 'Kitty', 'sjxqqq', 'jimtalksdata', 'ulchain', 'Ryan', 'Kell Benet', 'Akshay CM', 'Matteo Bruni', 'mceme', 'felix', 'morinpa', 'wangzhiyong', 'Tyera Eulberg', 'Caleb James DeLisle', 'AprocySanae', 'ltchd2019', 'Mochimo Development Team', 'HSN', 'Tomas Tauber', 'coolcottontail', 'Ryxor', 'Asmodat', 'Kwun Yeung', 'Adam R', 'Peter DePaulo', 'Ca.Men', 'JoeyHanks', 'Maik Broemme', 'harshad1ledger', 'Panagiotis David', 'earthspay', 'HDDCASH', 'ilmango', 'Aile Coin', 'Enrique', 'Wei-Ning Huang', 'gz-c', 'hatchpay', 'Hongmin', 'Sebastian Dechant', 'Dmitry Goroshevsky', 'Elpidio Moreno', 'Ian Duoteli Fleming', 'Carmelo Campos', 'apollo', 'Yuri Gagarin', 'Bitc2org', 'XRPHD', 'Maulik Vora', 'Talha Cross', 'GB', 'sibcool', 'Kees de Wit', 'iavl', 'Mitchel van Amstel', 'chipo', 'jiraiyav5@126.com', 'JCKim', 'jungsoo827', 'Yurec', 'remembermeLiu', 'Install_B', 'Binh Do', 'John', 'Tom Trevethan', 'Andrey Bronin', 'Gabriel Cardona', 'Empow Blockchain', 'muyiy', 'CapricoinPlus', 'mstraka100', 'Louis Thiery', 'Ruaridh', 'Gleec', 'cryptoprofutonium', 'Peter Williams', 'EtherCore Contributor', 'Codegnosis', 'Dondrey Taylor', 'mzhangdx', 'Nicolas Mahé', 'aidanok', 'yijia-origo', 'Afauvre', 'theother guylikeme', 'Forhad Shamim', 'Nikolay Pakulin', 'Litecoin Cash', 'axengine', 'Ryan Hein', 'MoonCoinCore', 'Christopher Allen', 'Matthias Kretschmann', 'Neeraj Murarka', 'Yeon-Hyeong Yang', 'hbyscpp', 'lishenglin', '1221', 'Grégory Saive', '鲲鹏公有链', 'finlchain', 'Sorawit Suriyakarn', 'tyGavinZJU', 'kai@bhex', 'dropil', ""Chris D'Costa"", 'turinglabs', 'Alexander Avramenko', 'rupayaproject', 'Andrew J Hacker', 'yqrashawn', 'namuyang', 'Ira Miller', 'Medha Parlikar', 'Vincent Shen', 'Angainor Development', 'Bz3r0', 'Tao Network Repository', 'Andrei Băncioiu', 'arisac', 'Daniel Kraft', 'Anil Chinchawale', 'Paul Hodgson', 'ychaim', 'SIERRA Foundation Team', 'zombieWings', 'Stakecube', 'remzrn', 'GOSSIP Blockchain', 'Aviv Eyal', 'Michael Straka', 'THORChain Admin', 'Cashmaney', 'Malcolm James MacLeod', 'valorbit', 'HS Chain', 'deepyu', 'Kristian Kramer', 'Sergey Zhdanoff', 'Layne Lafrance', 'IQ.CASH (PoS) Test project', 'Zynecoin', 'coinevo', 'Dean van Dugteren', 'Oleg Mitrakhovich', 'scribenetwork', 'moyaying', 'infinitefuture01', 'Sumcoin', 'Finn', 'OuYun', 'Sunny Aggarwal', 'somereason', 'FrediDealCash', 'Guten Ye', 'aquarius-kuchain', 'bitcoin-pos', 'Mehdi', 'wishwen', 'Shane Vitarana', 'Michael FIG', 'Wagx Chung', 'Rhonin', 'Stoner19', 'Erdem Değer', 'RA80533', 'jiguangin', 'Sri Ram Bandi', 'Gene Hoffman', 'Holt666', 'yoshi', 'dpickering006', 'zeptin', 'Charles Wire', 'Tore19', 'SafeCapital', 'mikolajsobolewski', 'Xiliang Chen', 'Jhon Kus', 'Donghwan Aidan Kwon', 'genterium-project', 'RentalChain', 'rickey', 'cpucorecore', 'xazab', 'sage-wu', 'Peter-Jan Brone', 'Trieu Nguyen', 'Lovesh Harchandani', 'Adam Dossa', 'Lyman Snow', 'Pierre K', 'kvh', 'Glenn Vandeuren']",slips:44,,slips,Draft,Standard
48,Deterministic key hierarchy for Graphene-based networks,85.71,2016-10-18,Fabian Schuh <Fabian@chainsquad.com>,"['Fabian Schuh', 'Pavol Rusnak', 'Jonathan Cross', 'pluswave', 'MickWang', 'crazybits', 'onechainone', 'yoyow-dev', 'Adrián Matejov', 'Adam Barlam', 'Richard Roznovjak', 'Holger Nahrstaedt']",slips:48,,slips,Draft,Standard
77,Deterministic blinding key derivation for Confidential Transactions,85.71,2019-06-15,Roman Zeyde <mail@romanzey.de>,"['Roman Zeyde', 'Marco Argentieri']",slips:77,,slips,Draft,Standard
132,Registered HD version bytes for BIP-0032,85.71,2018-02-08,Clark Moody <clark@clarkmoody.com>,"['Clark Moody', 'Pavol Rusnak', 'shigeyuki azuchi', 'Jameson Lopp', 'Cronos', 'Thomas Kerin', 'jagdeep sidhu', 'secinthenet']",slips:132,,slips,Draft,Standard
173,Registered human-readable parts for BIP-0173,85.71,2017-05-17,Clark Moody <clark@clarkmoody.com>,"['Clark Moody', 'Pavol Rusnak', 'James Lovejoy', 'h4x3rotab', 'WJ Cloud', 'topynate', 'Kefkius', 'Romano', 'FujiCoin', 'virtload', 'Jon Layton', 'Jon D', 'Varunram Ganesh', '脇山P', 'wlc-', 'Gruve_p', 'Koutarou Tanaka', 'Ishikawa', 'JP Lomas', 'peerchemist', 'Julian Fleischer', 'Kikyou Akino', 'Mark Tyneway', 'cranepay', '人畜無害', 'evesnow91', 'Caleb James DeLisle', 'Tomas Tauber', 'Thomas Nguyen', 'jagdeep sidhu', 'ilmango', 'streetcrypto7', 'Simon Warta', 'noahanhao', 'GB', 'Adam R', '大鼠四', 'theother guylikeme', 'lishenglin', 'Sean Gilligan', 'Tadej Janež']",slips:173,,slips,Draft,Standard
